"Date","Price","Open","High","Low","Vol.","Change %"
"05/11/2023","74,900.0","76,500.0","76,500.0","74,800.0","290.70K","-0.40%"
"05/10/2023","75,200.0","75,600.0","76,350.0","75,100.0","316.70K","-0.53%"
"05/09/2023","75,600.0","75,900.0","76,650.0","70,600.0","183.20K","-0.40%"
"05/08/2023","75,900.0","76,200.0","76,500.0","75,800.0","223.40K","-0.39%"
"05/05/2023","76,200.0","76,800.0","77,000.0","76,000.0","191.60K","0.13%"
"05/04/2023","76,100.0","77,000.0","77,000.0","76,000.0","268.70K","-1.17%"
"04/28/2023","77,000.0","75,800.0","77,000.0","75,000.0","409.70K","1.72%"
"04/27/2023","75,700.0","75,900.0","76,700.0","74,700.0","373.20K","0.13%"
"04/26/2023","75,600.0","75,500.0","75,800.0","74,000.0","648.40K","0.13%"
"04/25/2023","75,500.0","76,500.0","77,000.0","75,500.0","378.90K","-1.31%"
"04/24/2023","76,500.0","76,800.0","77,300.0","76,500.0","193.30K","-0.65%"
"04/21/2023","77,000.0","77,800.0","78,100.0","76,600.0","399.00K","-0.39%"
"04/20/2023","77,300.0","78,500.0","78,500.0","77,000.0","287.10K","-0.90%"
"04/19/2023","78,000.0","78,500.0","78,600.0","77,600.0","303.50K","-0.26%"
"04/18/2023","78,200.0","78,500.0","79,500.0","77,800.0","943.40K","0.13%"
"04/17/2023","78,100.0","77,600.0","78,900.0","77,600.0","693.00K","0.64%"
"04/14/2023","77,600.0","77,600.0","78,000.0","77,300.0","596.20K","0.78%"
"04/13/2023","77,000.0","78,000.0","78,400.0","76,900.0","407.40K","-1.16%"
"04/12/2023","77,900.0","79,000.0","79,000.0","77,900.0","605.30K","-0.89%"
"04/11/2023","78,600.0","77,500.0","79,300.0","77,500.0","1.03M","1.81%"
"04/10/2023","77,200.0","76,600.0","77,500.0","76,600.0","650.50K","0.92%"
"04/07/2023","76,500.0","76,800.0","77,200.0","76,300.0","336.40K","-0.39%"
"04/06/2023","76,800.0","77,700.0","77,900.0","76,800.0","595.80K","-0.65%"
"04/05/2023","77,300.0","76,900.0","77,800.0","76,600.0","1.29M","0.91%"
"04/04/2023","76,600.0","77,000.0","77,600.0","76,300.0","790.50K","-0.26%"
"04/03/2023","76,800.0","78,000.0","78,000.0","76,500.0","758.50K","-1.16%"
"03/31/2023","77,700.0","77,800.0","78,400.0","77,400.0","406.00K","0.00%"
"03/30/2023","77,700.0","78,800.0","78,800.0","76,800.0","331.40K","0.91%"
"03/29/2023","77,000.0","77,800.0","77,800.0","76,100.0","343.40K","-1.03%"
"03/28/2023","77,800.0","78,200.0","78,400.0","77,100.0","419.30K","-0.51%"
"03/27/2023","78,200.0","79,000.0","79,000.0","77,900.0","203.20K","-1.01%"
"03/24/2023","79,000.0","78,600.0","79,000.0","78,100.0","140.90K","0.64%"
"03/23/2023","78,500.0","78,300.0","78,800.0","78,000.0","169.00K","-0.51%"
"03/22/2023","78,900.0","79,500.0","79,500.0","78,100.0","221.60K","-0.13%"
"03/21/2023","79,000.0","80,900.0","80,900.0","78,500.0","246.60K","-1.25%"
"03/20/2023","80,000.0","79,900.0","81,000.0","79,000.0","480.50K","1.27%"
"03/17/2023","79,000.0","80,500.0","80,500.0","78,000.0","153.60K","-1.86%"
"03/16/2023","80,500.0","81,000.0","81,000.0","79,000.0","326.80K","-0.37%"
"03/15/2023","80,800.0","81,200.0","81,200.0","80,200.0","263.00K","0.12%"
"03/14/2023","80,700.0","81,000.0","81,200.0","80,100.0","276.60K","0.62%"
"03/13/2023","80,200.0","80,000.0","80,900.0","79,600.0","443.30K","1.52%"
"03/10/2023","79,000.0","79,000.0","79,500.0","78,300.0","149.80K","-1.13%"
"03/09/2023","79,900.0","79,500.0","80,000.0","79,000.0","160.20K","-0.13%"
"03/08/2023","80,000.0","79,200.0","80,000.0","77,000.0","213.60K","0.88%"
"03/07/2023","79,300.0","79,300.0","79,300.0","77,200.0","121.50K","1.02%"
"03/06/2023","78,500.0","79,800.0","79,800.0","78,300.0","134.60K","-1.13%"
"03/03/2023","79,400.0","80,300.0","80,900.0","78,600.0","221.30K","-1.12%"
"03/02/2023","80,300.0","78,000.0","80,300.0","78,000.0","296.80K","3.48%"
"03/01/2023","77,600.0","77,000.0","77,700.0","76,100.0","265.80K","0.91%"
"02/28/2023","76,900.0","76,200.0","77,500.0","76,200.0","262.20K","1.05%"
"02/27/2023","76,100.0","80,000.0","80,000.0","76,100.0","590.60K","-6.05%"
"02/24/2023","81,000.0","82,000.0","82,100.0","79,600.0","531.70K","-1.34%"
"02/23/2023","82,100.0","82,600.0","83,000.0","81,000.0","351.10K","-1.08%"
"02/22/2023","83,000.0","84,000.0","84,000.0","83,000.0","320.80K","-1.78%"
"02/21/2023","84,500.0","84,900.0","85,800.0","84,100.0","418.80K","0.00%"
"02/20/2023","84,500.0","83,000.0","84,500.0","82,700.0","363.50K","1.81%"
"02/17/2023","83,000.0","82,600.0","83,100.0","81,900.0","242.90K","0.48%"
"02/16/2023","82,600.0","82,000.0","82,600.0","81,800.0","183.70K","0.73%"
"02/15/2023","82,000.0","82,000.0","82,200.0","81,400.0","240.40K","-0.12%"
"02/14/2023","82,100.0","83,200.0","83,200.0","81,300.0","264.40K","-1.68%"
"02/13/2023","83,500.0","83,300.0","84,200.0","82,500.0","410.40K","0.24%"
"02/10/2023","83,300.0","82,900.0","83,800.0","82,700.0","469.10K","0.48%"
"02/09/2023","82,900.0","82,700.0","83,500.0","82,600.0","404.30K","0.00%"
"02/08/2023","82,900.0","83,100.0","83,900.0","82,100.0","292.40K","-0.24%"
"02/07/2023","83,100.0","84,700.0","84,700.0","82,500.0","309.10K","-0.84%"
"02/06/2023","83,800.0","82,600.0","85,100.0","82,600.0","345.80K","2.07%"
"02/03/2023","82,100.0","85,800.0","85,900.0","82,100.0","2.09M","-3.98%"
"02/02/2023","85,500.0","87,700.0","87,700.0","85,100.0","607.60K","-1.38%"
"02/01/2023","86,700.0","90,100.0","91,500.0","86,000.0","465.00K","-3.88%"
"01/31/2023","90,200.0","91,000.0","93,100.0","89,900.0","602.90K","-2.17%"
"01/30/2023","92,200.0","95,000.0","95,000.0","92,100.0","351.50K","-1.91%"
"01/27/2023","94,000.0","89,600.0","95,100.0","89,600.0","1.43M","5.74%"
"01/19/2023","88,900.0","87,600.0","88,900.0","87,600.0","591.30K","0.45%"
"01/18/2023","88,500.0","89,400.0","89,400.0","87,400.0","336.70K","0.57%"
"01/17/2023","88,000.0","87,600.0","89,000.0","87,500.0","288.70K","0.57%"
"01/16/2023","87,500.0","86,400.0","89,000.0","86,400.0","430.90K","1.39%"
"01/13/2023","86,300.0","86,100.0","87,200.0","86,100.0","197.30K","0.35%"
